n,kappa,z_transform
2.000000000000000000e+00,1.876145400114794248e-01,1.820916435879107453e+00
3.000000000000000000e+00,2.973620105082439014e-01,2.585531984280319939e+00
4.000000000000000000e+00,5.628436200344382190e-01,3.018839696497156222e+00
5.000000000000000000e+00,4.356274714620232413e-01,4.021376177271544172e+00
6.000000000000000000e+00,9.699531010394465413e-01,3.694269808277025557e+00
7.000000000000000000e+00,5.267006023508000734e-01,5.379308572973693359e+00
8.000000000000000000e+00,1.125687240068876438e+00,4.556696556573521129e+00
9.000000000000000000e+00,8.920860315247315375e-01,5.761406111948217834e+00
1.000000000000000000e+01,1.246484022947005554e+00,5.362032395729592338e+00
1.100000000000000000e+01,6.490396718318043323e-01,7.951618054957165782e+00
1.200000000000000000e+01,2.017773271593608087e+00,4.375496565222679379e+00
1.300000000000000000e+01,6.942562955592496143e-01,9.187291860858605830e+00
1.400000000000000000e+01,1.428630284724558885e+00,6.853381548992806493e+00
1.500000000000000000e+01,1.465978963940534285e+00,7.207057246795088190e+00
1.600000000000000000e+01,1.876145400114794359e+00,6.262102693121945229e+00
1.700000000000000000e+01,7.668674607751971850e-01,1.158579308740626068e+01
1.800000000000000000e+01,2.347015683083900850e+00,5.567042349180957750e+00
1.900000000000000000e+01,7.969729664368258026e-01,1.275537174165555321e+01
2.000000000000000000e+01,2.432569654454946217e+00,5.926580759715846192e+00
2.100000000000000000e+01,1.648125225718087838e+00,9.211565599092145007e+00
2.200000000000000000e+01,1.673308423686567403e+00,9.529461797478168350e+00
2.300000000000000000e+01,8.486859955990645465e-01,1.504658745231929906e+01
2.400000000000000000e+01,3.440822522170728703e+00,4.295820482743506474e+00
2.500000000000000000e+01,1.306882414386069557e+00,1.300630991362837818e+01
2.600000000000000000e+01,1.763741671141458189e+00,1.076419880846066057e+01
2.700000000000000000e+01,1.784172063049463075e+00,1.106460012893142775e+01
2.800000000000000000e+01,2.705789047121276436e+00,7.237747119359347003e+00
2.900000000000000000e+01,9.114278697853686051e-01,1.838586007667827715e+01
3.000000000000000000e+01,3.682416087926986048e+00,4.758770505422227792e+00
3.100000000000000000e+01,9.294792618998021227e-01,1.947725887612669027e+01
3.200000000000000000e+01,2.814218100172191317e+00,7.835203531699292512e+00
3.300000000000000000e+01,1.892803364680096134e+00,1.280845985941251186e+01
3.400000000000000000e+01,1.908964001573353331e+00,1.309039197162003099e+01
3.500000000000000000e+01,1.924656147625646518e+00,1.337008819633470935e+01
3.600000000000000000e+01,4.364788954677509381e+00,4.059762446215079201e+00
3.700000000000000000e+01,9.773691969037286986e-01,2.269701264289135878e+01
3.800000000000000000e+01,1.969175012896610566e+00,1.419654539941506144e+01
3.900000000000000000e+01,1.983236612134986920e+00,1.446805824788451034e+01
4.000000000000000000e+01,3.993884365985846063e+00,5.429989884870590089e+00
4.100000000000000000e+01,1.005154654934001357e+00,2.480374721751503841e+01
4.200000000000000000e+01,4.046708611482093154e+00,5.552872228510673303e+00
